"Produkt_Code,""SDO_ID"",""Zeitstempel"",""Wert"",""Qualitaet_Niveau"",""Qualitaet_Byte"""
"TT_TU_MN009,""1666"",""201401141900"",""4.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401142000"",""4.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401142100"",""4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401142200"",""3.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401142300"",""3.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401150000"",""3.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401150100"",""3.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401150200"",""3.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401150300"",""3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401150400"",""2.9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401150500"",""3.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401150600"",""3.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401150700"",""3.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401150800"",""3.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401150900"",""3.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401151000"",""3.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401151100"",""3.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401151200"",""3.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401151300"",""3.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401151400"",""3.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401151500"",""3.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401151600"",""3.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401151700"",""3.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401151800"",""3.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401151900"",""3.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401152000"",""3.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401152100"",""3.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401152200"",""3.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401152300"",""3.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401160000"",""3.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401160100"",""3.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401160200"",""3.4"",""7"",""1"""
